MaGD,MaKH,NgayGD,GioGD,LoaiGD,SoTien,ChiNhanh,KenhGD,TrangThai,GhiChu
GD000646,KH0025,2024-05-09,09:51,Mua ngoại tệ,188530474,Nghệ An,Quầy giao dịch,Thành công,
GD000284,KH0045,2024-06-30,09:14,Rút tiền,60870611,Cần Thơ,Internet Banking,Thất bại,
GD000632,KH0076,2024-04-09,15:29,Nạp tiền,144922,Hà Nội,Quầy giao dịch,Thành công,
GD000288,KH0029,2024-03-21,10:31,Nạp tiền,10950778,Hà Nội,Quầy giao dịch,Thành công,
GD000012,KH0113,2024-01-09,13:23,Thanh toán hóa đơn,41238243,Khánh Hòa,Internet Banking,Thành công,
GD000249,KH0157,2024-04-10,10:34,Thanh toán hóa đơn,118586186,Cần Thơ,POS,Đang xử lý,
GD000203,KH0029,2024-03-19,11:47,Mua ngoại tệ,69482978,Nghệ An,Mobile App,Thành công,
GD000811,KH0088,2024-03-17,16:47,Mua ngoại tệ,62796105,Bình Dương,Internet Banking,Thành công,Mua sắm online
GD000294,KH0196,2024-01-29,16:43,Mua ngoại tệ,42009403,Nghệ An,POS,Thành công,
GD000661,KH0030,2024-02-10,10:34,Nạp tiền,182829205,Đồng Nai,POS,Thành công,
GD000975,KH0146,2024-01-19,09:23,Chuyển khoản,19382958,Hà Nội,Quầy giao dịch,Thành công,
GD000033,KH0110,2024-05-11,09:11,Rút tiền,1883447,Cần Thơ,Quầy giao dịch,Thất bại,
GD000773,KH0187,2024-02-18,14:13,Mua ngoại tệ,141725173,Cần Thơ,POS,Thành công,
GD000303,KH0172,2024-06-17,10:15,Chuyển khoản,32434755,Nghệ An,POS,Thành công,
GD000217,KH0114,2024-01-21,02:17,Mua ngoại tệ,55787294,TP. Hồ Chí Minh,,Thành công,
GD000211,KH0053,2024-01-17,15:55,Mua ngoại tệ,122871281,Hải Phòng,POS,Thành công,
GD000813,KH0097,2024-06-17,17:48,Mua ngoại tệ,122510861,Hà Nội,POS,Thành công,Lương tháng 6
GD000016,KH0089,2024-02-02,17:11,Rút tiền,14924773,Hà Nội,Mobile App,Thành công,
GD000839,KH0130,2024-01-28,13:01,Thanh toán hóa đơn,150020836,BÌNH DƯƠNG,ATM,Thất bại,
GD000244,KH0137,2024-02-29,15:16,Rút tiền,77572070,Khánh Hòa,POS,Thành công,
GD000725,KH0133,2024-06-22,14:42,Rút tiền,37437065,Cần Thơ,POS,Thành công,Mua sắm online
GD000850,KH0041,2024-02-22,08:34,Rút tiền,189610179,Hà Nội,Mobile App,Thành công,
GD000228,KH0004,2024-06-08,16:22,Mua ngoại tệ,189123505,Cần Thơ,Quầy giao dịch,Thành công,
GD000024,KH0042,2024-04-10,12:37,Nạp tiền,131542209,Thanh Hóa,Quầy giao dịch,Thành công,
GD000140,KH0020,2024-02-17,09:24,Chuyển khoản,34964468,Đà Nẵng,Quầy giao dịch,Đang xử lý,
GD000980,KH0164,2024-03-26,08:10,Chuyển khoản,6363326,Bình Dương,Quầy giao dịch,Thành công,
GD000744,KH0089,2024-06-08,16:37,Chuyển khoản,116392121,Nghệ An,POS,Thành công,
GD000010,KH0087,2024-02-17,16:17,Chuyển khoản,161769824,Đà Nẵng,Internet Banking,Thành công,Trả nợ vay
GD000714,KH0116,2024-02-25,10:37,Chuyển khoản,134824091,Đà Nẵng,ATM,Thành công,Lương tháng 2
GD000810,KH0028,2024-05-04,16:41,Rút tiền,70858725,Cần Thơ,Mobile App,Thành công,
GD000789,KH0030,2024-06-26,16:54,Chuyển khoản,174440511,Thanh Hóa,Internet Banking,Thành công,
GD000963,KH0069,2024-06-23,08:07,Thanh toán hóa đơn,174024293,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,
GD000352,KH0145,2024-01-18,09:53,Rút tiền,116004033,Hải Phòng,Quầy giao dịch,Thành công,
GD000167,KH0089,2024-03-11,15:59,Thanh toán hóa đơn,109339368,Nghệ An,Quầy giao dịch,Thành công,
GD000924,KH0012,2024-04-02,15:03,Mua ngoại tệ,124167966,Hà Nội,,Thành công,
GD000316,KH0169,2024-06-11,10:03,Rút tiền,43953948,Khánh Hòa,ATM,Thành công,
GD000792,KH0186,2024-01-08,17:05,Chuyển khoản,26426628,Khánh Hòa,Quầy giao dịch,Thành công,Mua sắm online
GD000889,KH0146,2024-04-16,15:57,Chuyển khoản,69492067,Thanh Hóa,Internet Banking,Thành công,
GD000332,KH0091,2024-01-12,10:54,Mua ngoại tệ,13585063,Khánh Hòa,Internet Banking,Thành công,Lương tháng 1
GD000142,KH0055,2024-06-18,11:48,Mua ngoại tệ,174345173,TP. Hồ Chí Minh,Mobile App,Thành công,
GD000772,KH0064,2024-01-21,17:44,Chuyển khoản,-1932221,Đà Nẵng,POS,Thành công,
GD000363,KH0159,2024-04-23,08:03,Rút tiền,174990723,Bình Dương,Mobile App,Thành công,Lương tháng 4
GD000865,KH0128,2024-01-05,15:07,Rút tiền,96422642,Nghệ An,Quầy giao dịch,Thành công,Thanh toán tiền điện
GD000394,KH0196,2024-04-07,12:38,Mua ngoại tệ,69116221,Đồng Nai,ATM,Thành công,Thanh toán tiền điện
GD000017,KH0021,2024-03-05,12:08,Nạp tiền,172113753,Đà Nẵng,Mobile App,Thành công,
GD000847,KH0009,2024-05-13,16:47,Rút tiền,76383102,Nghệ An,POS,Thành công,
GD000950,KH0154,2024-01-23,09:30,Nạp tiền,42763813,,Internet Banking,Thành công,
GD000401,KH0026,2024-01-03,08:42,Mua ngoại tệ,56708231,Nghệ An,POS,Thành công,
GD000843,KH0016,2024-06-03,15:00,Nạp tiền,138094483,Nghệ An,ATM,Thành công,
GD000890,KH0142,2024-02-07,12:26,Mua ngoại tệ,60843694,Bình Dương,ATM,Thành công,
GD000983,KH0029,2024-06-11,17:44,Thanh toán hóa đơn,186537880,Bình Dương,Mobile App,Thành công,
GD000731,KH0028,2024-01-01,17:55,Mua ngoại tệ,62375540,Hà Nội,ATM,Thành công,
GD000359,KH0007,2024-02-27,09:58,Rút tiền,16919590,HÀ NỘI,Internet Banking,Thành công,Thanh toán tiền điện
GD000307,KH0197,2024-06-13,09:52,Thanh toán hóa đơn,89364438,Đồng Nai,Mobile App,Thành công,
GD000253,KH0126,2024-04-09,12:31,Mua ngoại tệ,4457250,TP. Hồ Chí Minh,Internet Banking,Thành công,
GD000430,KH0065,2024-02-27,13:27,Rút tiền,117778293,Khánh Hòa,,Thành công,
GD000991,KH0013,2024-02-22,14:10,Rút tiền,83272338,,Mobile App,Thành công,
GD000665,KH0005,2024-06-07,13:23,Chuyển khoản,62773157,TP. Hồ Chí Minh,ATM,Thành công,
GD000516,KH0159,2024-05-23,15:27,Thanh toán hóa đơn,34192944,Nghệ An,Mobile App,Đang xử lý,
GD000472,KH0106,2024-01-27,16:06,Thanh toán hóa đơn,179287075,Cần Thơ,ATM,Thành công,
GD000840,KH0160,2024-01-31,17:04,Chuyển khoản,44292161,TP. Hồ Chí Minh,Quầy giao dịch,Đang xử lý,
GD000852,KH0031,2024-06-14,11:12,Thanh toán hóa đơn,151577744,Thanh Hóa,Internet Banking,Thành công,
GD000456,KH0057,2024-04-10,16:38,Chuyển khoản,84121208,Đồng Nai,Quầy giao dịch,Thành công,
GD000479,KH0162,2024-06-04,13:22,Thanh toán hóa đơn,1396084,,Internet Banking,Đang xử lý,
GD000131,KH0143,20/05/2024,17:39,Nạp tiền,175766770,Khánh Hòa,Internet Banking,Thành công,
GD000589,KH0120,2024-01-08,17:22,Mua ngoại tệ,6333629,Cần Thơ,Mobile App,Thành công,Trả nợ vay
GD000914,KH0109,2024-03-09,14:58,Nạp tiền,24288721,  Hải Phòng  ,ATM,Thành công,
GD000273,KH0171,2024-03-22,15:34,Rút tiền,6740809,Đồng Nai,ATM,Thành công,
GD000103,KH0164,2024-03-15,09:19,Thanh toán hóa đơn,71186577,Hà Nội,Quầy giao dịch,Thành công,
GD000536,KH0162,2024-02-20,08:10,Chuyển khoản,191010116,,Internet Banking,Thành công,
GD000015,KH0007,2024-04-02,16:08,Mua ngoại tệ,106930254,Khánh Hòa,POS,Thành công,
GD000007,KH0140,2024-05-09,08:24,Thanh toán hóa đơn,100257597,Cần Thơ,Internet Banking,Thành công,
GD000172,KH0101,2024-06-24,09:44,Mua ngoại tệ,3222901,Hải Phòng,Quầy giao dịch,Thành công,
GD000380,KH0135,2024-03-25,15:29,Mua ngoại tệ,173539603,Khánh Hòa,Quầy giao dịch,Thành công,Lương tháng 3
GD000659,KH0085,2024-02-15,13:58,Thanh toán hóa đơn,66131604,Thanh Hóa,ATM,Thành công,
GD000784,KH0139,2024-02-12,08:59,Thanh toán hóa đơn,110594134,Bình Dương,Mobile App,Thành công,
GD000098,KH0045,2024-04-06,10:11,Chuyển khoản,105169706,Thanh Hóa,POS,Thành công,
GD000610,KH0054,2024-06-18,13:01,Nạp tiền,149855282,Nghệ An,POS,Thành công,
GD000969,KH0009,2024-04-30,16:29,Chuyển khoản,133686351,Hà Nội,Mobile App,Thành công,Lương tháng 4
GD000494,KH0180,2024-04-13,12:31,Rút tiền,171016331,Cần Thơ,Internet Banking,Thành công,
GD000416,KH0101,2024-05-22,16:31,Chuyển khoản,191645570,Hà Nội,Internet Banking,Thành công,
GD000663,KH0011,2024-06-18,11:49,Rút tiền,3864772,Đà Nẵng,Mobile App,Thành công,Mua sắm online
GD000334,KH0107,2024-01-02,13:18,Mua ngoại tệ,192034968,Đồng Nai,Mobile App,Thành công,
GD000489,KH0062,2024-05-27,12:20,Thanh toán hóa đơn,79569758,Hà Nội,Mobile App,Thành công,
GD000542,KH0033,2024-04-26,09:28,Thanh toán hóa đơn,36776810,Cần Thơ,Quầy giao dịch,Thành công,Mua sắm online
GD000065,KH0164,2024-03-21,17:07,Nạp tiền,46362500,Cần Thơ,Mobile App,Thành công,Trả nợ vay
GD000473,KH0119,2024-04-15,14:00,Nạp tiền,71885781,,ATM,Thành công,Mua sắm online
GD000192,KH0169,2024-05-05,12:03,Nạp tiền,3562774,Hải Phòng,Internet Banking,Thành công,
GD000856,KH0135,2024-05-07,13:08,Mua ngoại tệ,139353214,Hải Phòng,Internet Banking,Thành công,Thanh toán tiền điện
GD000780,KH0136,2024-02-16,08:09,Chuyển khoản,148728987,  Đồng Nai  ,Mobile App,Thành công,
GD000916,KH0004,2024-05-15,16:33,Mua ngoại tệ,183157393,Khánh Hòa,Internet Banking,Thành công,Trả nợ vay
GD000554,KH0152,2024-03-04,15:33,Mua ngoại tệ,132500816,Cần Thơ,,Thành công,
GD000102,KH0185,2024-05-18,11:06,Chuyển khoản,131837924,  Đà Nẵng  ,Internet Banking,Thành công,Thanh toán tiền điện
GD000157,KH0006,03/03/2024,10:08,Mua ngoại tệ,15058765,Đà Nẵng,ATM,Đang xử lý,
GD000232,KH0137,2024-04-28,17:15,Mua ngoại tệ,17782828,Bình Dương,ATM,Thành công,
GD000206,KH0176,2024-03-31,16:17,Chuyển khoản,7959690,Nghệ An,Quầy giao dịch,Thành công,
GD000778,KH0058,2024-04-25,15:24,Nạp tiền,35882573,TP. Hồ Chí Minh,ATM,Thành công,Mua sắm online
GD000604,KH0138,2024-01-14,11:30,Chuyển khoản,26860235,Nghệ An,Quầy giao dịch,Thành công,
GD000159,KH0153,2024-05-31,10:06,Chuyển khoản,135437978,Đồng Nai,Mobile App,Đang xử lý,
GD000892,KH0035,2024-06-02,15:23,Rút tiền,186550009,TP. Hồ Chí Minh,Internet Banking,Thành công,
GD000947,KH0072,2024-06-16,16:47,Chuyển khoản,96660335,Thanh Hóa,Internet Banking,Thành công,
GD000737,KH0018,2024-01-26,16:07,Thanh toán hóa đơn,48079541,Đà Nẵng,Internet Banking,Thành công,
GD000112,KH0073,2024-01-08,17:49,Rút tiền,181967432,Hải Phòng,Internet Banking,Thành công,Thanh toán tiền điện
GD000698,KH0138,2024-01-02,12:17,Mua ngoại tệ,54162807,Thanh Hóa,Quầy giao dịch,Thành công,
GD000566,KH0040,2024-06-29,10:05,Thanh toán hóa đơn,119068377,TP. Hồ Chí Minh,Quầy giao dịch,Thất bại,
GD000445,KH0187,2024-01-04,08:07,Chuyển khoản,11791378,Đà Nẵng,Mobile App,Thất bại,
GD000254,KH0138,2024-02-08,09:02,Rút tiền,-484212,Hải Phòng,Mobile App,Thành công,
GD000108,KH0147,2024-06-04,14:09,Mua ngoại tệ,10460607,Đồng Nai,Mobile App,Thành công,
GD000962,KH0092,2024-02-12,13:46,Mua ngoại tệ,149563553,Cần Thơ,Quầy giao dịch,Thành công,
GD000622,KH0036,2024-06-26,17:51,Rút tiền,99828542,Thanh Hóa,Mobile App,Thành công,
GD000915,KH0198,2024-06-07,08:23,Mua ngoại tệ,147215648,Hải Phòng,POS,Thành công,
GD000413,KH0174,2024-02-13,15:11,Chuyển khoản,90911594,Thanh Hóa,ATM,Thành công,
GD000855,KH0199,2024-05-07,10:57,Thanh toán hóa đơn,156350783,KHÁNH HÒA,ATM,Thành công,
GD000117,KH0079,2024-04-17,12:37,Nạp tiền,14458797,Thanh Hóa,ATM,Thành công,
GD000648,KH0111,2024-06-29,14:13,Thanh toán hóa đơn,81831832,Bình Dương,POS,Thành công,
GD000518,KH0168,08/01/2024,11:21,Chuyển khoản,197047444,Bình Dương,Internet Banking,Thành công,
GD000775,KH0191,2024-01-12,10:13,Nạp tiền,175030457,Hải Phòng,Internet Banking,Thành công,
GD000418,KH0076,2024-06-17,15:44,Nạp tiền,94570721,Thanh Hóa,Internet Banking,Đang xử lý,Thanh toán tiền điện
GD000496,KH0122,29/05/2024,15:07,Chuyển khoản,78073064,Hải Phòng,Mobile App,Thành công,
GD000220,KH0023,2024-05-03,12:27,Mua ngoại tệ,154438688,Thanh Hóa,POS,Thành công,
GD000209,KH0106,2024-04-15,12:09,Rút tiền,164327559,Thanh Hóa,Mobile App,Đang xử lý,Trả nợ vay
GD000395,KH0002,2024-01-04,13:31,Thanh toán hóa đơn,199281180,Bình Dương,POS,Thành công,
GD000514,KH0179,2024-04-25,17:35,Rút tiền,182277146,Cần Thơ,ATM,Thành công,
GD000212,KH0153,2024-05-17,08:33,Chuyển khoản,11435935,Hải Phòng,Internet Banking,Thành công,
GD000745,KH0183,2024-04-22,10:09,Rút tiền,105920785,Hải Phòng,Mobile App,Thành công,Lương tháng 4
GD000734,KH0126,2024-04-21,09:27,Nạp tiền,69805393,Khánh Hòa,POS,Thành công,
GD000233,KH0170,2024-06-20,17:53,Thanh toán hóa đơn,87393016,Nghệ An,Quầy giao dịch,Thành công,
GD000250,KH0168,12/06/2024,14:17,Rút tiền,154303818,TP. Hồ Chí Minh,ATM,Thành công,Thanh toán tiền điện
GD000020,KH0069,2024-04-25,12:24,Mua ngoại tệ,42919051,Bình Dương,Mobile App,Thành công,
GD000469,KH0173,2024-04-14,15:53,Rút tiền,155306899,Hà Nội,Mobile App,Thành công,
GD000694,KH0195,2024-01-09,17:02,Mua ngoại tệ,35447713,Khánh Hòa,Mobile App,Thành công,
GD000660,KH0168,2024-03-10,14:24,Nạp tiền,131104616,Cần Thơ,ATM,Thành công,Chuyển tiền cho người thân
GD000547,KH0126,2024-06-02,12:17,Mua ngoại tệ,109841664,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,Trả nợ vay
GD000408,KH0033,2024-03-21,08:19,Chuyển khoản,104242021,Đồng Nai,Mobile App,Thành công,
GD000462,KH0044,2024-03-16,13:22,Chuyển khoản,123729260,Cần Thơ,ATM,Thành công,Mua sắm online
GD000062,KH0022,2024-01-30,13:19,Nạp tiền,129684461,Bình Dương,ATM,Thành công,
GD000721,KH0068,2024-04-14,13:49,Thanh toán hóa đơn,100359561,Đồng Nai,Mobile App,Thành công,
GD000579,KH0168,2024-02-16,14:43,Thanh toán hóa đơn,113259135,Đà Nẵng,Internet Banking,Thành công,
GD000176,KH0045,2024-03-13,15:49,Thanh toán hóa đơn,76963086,Khánh Hòa,Mobile App,Thành công,
GD000757,KH0024,2024-05-04,08:56,Rút tiền,74638094,Hải Phòng,Internet Banking,Thành công,Trả nợ vay
GD000905,KH0132,2024-01-18,15:32,Nạp tiền,114130948,Bình Dương,Quầy giao dịch,Thành công,
GD000019,KH0117,2024-01-19,14:30,Thanh toán hóa đơn,83958224,Bình Dương,ATM,Thành công,
GD000984,KH0110,2024-03-17,13:39,Nạp tiền,150264095,Thanh Hóa,Quầy giao dịch,Thành công,
GD000934,KH0013,2024-03-31,13:41,Chuyển khoản,17703083,TP. HỒ CHÍ MINH,POS,Thành công,
GD000564,KH0003,2024-02-20,08:37,Nạp tiền,68168269,Nghệ An,Internet Banking,Thành công,
GD000241,KH0145,2024-03-07,10:36,Chuyển khoản,197988957,THANH HÓA,Mobile App,Thành công,
GD000543,KH0071,2024-04-26,09:45,Nạp tiền,27011334,Nghệ An,Internet Banking,Thành công,
GD000726,KH0164,2024-03-04,13:11,Thanh toán hóa đơn,192529349,Cần Thơ,Quầy giao dịch,Thành công,
GD000277,KH0107,2024-04-23,14:46,Thanh toán hóa đơn,23156381,Đà Nẵng,POS,Thành công,Trả nợ vay
GD000703,KH0122,14/02/2024,11:29,Mua ngoại tệ,6105620,Thanh Hóa,Mobile App,Thành công,
GD000747,KH0096,2024-04-30,16:35,Nạp tiền,41818107,Thanh Hóa,POS,Thành công,
GD000048,KH0003,2024-02-25,17:40,Mua ngoại tệ,4272964,TP. Hồ Chí Minh,Internet Banking,Thất bại,
GD000330,KH0120,2024-02-03,14:26,Nạp tiền,43543456,Thanh Hóa,Internet Banking,Thành công,Trả nợ vay
GD000004,KH0116,2024-03-30,14:32,Nạp tiền,100689854,HẢI PHÒNG,Quầy giao dịch,Thành công,
GD000848,KH0057,2024-04-18,15:46,Nạp tiền,1758694,Đà Nẵng,Mobile App,Thành công,
GD000194,KH0143,2024-05-22,17:22,Thanh toán hóa đơn,27994775,Đà Nẵng,POS,Thành công,
GD000406,KH0008,2024-02-11,14:49,Nạp tiền,127906428,Hà Nội,ATM,Thành công,
GD000558,KH0035,2024-02-12,08:20,Thanh toán hóa đơn,1553891,Cần Thơ,Internet Banking,Thành công,Mua sắm online
GD000199,KH0014,2024-03-19,17:09,Nạp tiền,13611308,Đồng Nai,POS,Thành công,Chuyển tiền cho người thân
GD000345,KH0171,2024-06-08,14:21,Mua ngoại tệ,118992731,Cần Thơ,Internet Banking,Thành công,Lương tháng 6
GD000932,KH0069,2024-06-27,08:57,Chuyển khoản,84270820,Thanh Hóa,Internet Banking,Thành công,Chuyển tiền cho người thân
GD000166,KH0168,2024-01-01,12:49,Thanh toán hóa đơn,157374696,Hải Phòng,Internet Banking,Thành công,
GD000202,KH0160,2024-02-07,11:12,Nạp tiền,23085638,Hà Nội,POS,Thất bại,
GD000357,KH0146,2024-02-28,12:12,Chuyển khoản,143110398,Thanh Hóa,,Thành công,
GD000006,KH0017,2024-01-29,16:01,Mua ngoại tệ,78237728,ĐỒNG NAI,POS,Thành công,Lương tháng 1
GD000064,KH0116,2024-05-31,23:13,Nạp tiền,16844328,Thanh Hóa,Mobile App,Thành công,
GD000003,KH0052,2024-06-03,15:55,Nạp tiền,138538371,Hà Nội,Quầy giao dịch,Thành công,
GD000173,KH0157,2024-03-28,11:26,Nạp tiền,121041643,Đà Nẵng,Mobile App,Thành công,
GD000909,KH0116,2024-02-11,09:09,Chuyển khoản,134259454,TP. Hồ Chí Minh,POS,Thành công,
GD000420,KH0019,2024-06-10,11:45,Nạp tiền,137335258,Thanh Hóa,Quầy giao dịch,Đang xử lý,
GD000433,KH0064,2024-06-07,11:17,Chuyển khoản,66448682,Đồng Nai,Internet Banking,Thành công,
GD000443,KH0163,2024-06-03,11:20,Nạp tiền,106206401,Đà Nẵng,ATM,Thành công,Thanh toán tiền điện
GD000225,KH0128,2024-03-01,12:13,Mua ngoại tệ,10088152,Hải Phòng,Internet Banking,Thành công,
GD000059,KH0113,2024-03-15,14:43,Thanh toán hóa đơn,67878723,Đà Nẵng,Internet Banking,Thành công,
GD000021,KH0006,2024-01-24,11:13,Mua ngoại tệ,132897151,,ATM,Thành công,
GD000563,KH0176,2024-01-31,13:11,Chuyển khoản,179912250,Bình Dương,POS,Thành công,
GD000114,KH0096,2024-05-23,12:43,Chuyển khoản,74267907,Bình Dương,Quầy giao dịch,Thành công,
GD000204,KH0066,2024-02-13,17:17,Chuyển khoản,17927209,,Quầy giao dịch,Thành công,
GD000800,KH0006,2024-06-20,14:50,Nạp tiền,142416071,Nghệ An,Mobile App,Thành công,Mua sắm online
GD000165,KH0103,2024-06-06,17:03,Rút tiền,54195375,Nghệ An,POS,Thành công,
GD000668,KH0054,2024-04-13,15:28,Thanh toán hóa đơn,178659818,Đồng Nai,Mobile App,Thành công,
GD000099,KH0061,2024-03-29,09:52,Nạp tiền,67035615,Hà Nội,Internet Banking,Thành công,
GD000540,KH0189,2024-02-23,17:20,Chuyển khoản,77317310,Cần Thơ,Mobile App,Thành công,
GD000590,KH0056,2024-02-24,10:55,Rút tiền,107723892,Nghệ An,ATM,Thành công,
GD000285,KH0111,2024-01-11,16:37,Chuyển khoản,11668289,  Hà Nội  ,Internet Banking,Thành công,Mua sắm online
GD000628,KH0161,2024-05-27,15:39,Nạp tiền,75025416,Nghệ An,Mobile App,Thành công,
GD000609,KH0079,2024-03-26,13:28,Nạp tiền,112020775,TP. Hồ Chí Minh,ATM,Thành công,Thanh toán tiền điện
GD000625,KH0164,2024-01-01,12:08,Nạp tiền,164764564,Hà Nội,POS,Thành công,
GD000603,KH0059,2024-06-25,17:17,Mua ngoại tệ,196903718,Hà Nội,Quầy giao dịch,Thành công,
GD000417,KH0032,2024-01-11,10:05,Mua ngoại tệ,22762411,Hà Nội,POS,Thành công,Lương tháng 1
GD000760,KH0172,2024-05-28,16:14,Chuyển khoản,64200696,ĐỒNG NAI,Internet Banking,Thành công,
GD000458,KH0124,12/01/2024,12:00,Nạp tiền,134325733,Hải Phòng,Quầy giao dịch,Thành công,
GD000630,KH0130,2024-02-16,16:12,Rút tiền,4538037,Hải Phòng,POS,Thành công,
GD000483,KH0092,2024-03-03,13:09,Nạp tiền,2976221,Bình Dương,Quầy giao dịch,Thành công,
GD000093,KH0005,2024-04-07,16:50,Thanh toán hóa đơn,86380029,Đồng Nai,POS,Thành công,
GD000708,KH0036,2024-02-22,14:56,Chuyển khoản,139520700,Hà Nội,POS,Thành công,
GD000582,KH0119,13/03/2024,15:23,Chuyển khoản,67783461,Đồng Nai,Internet Banking,Thất bại,
GD000766,KH0199,2024-05-30,11:53,Thanh toán hóa đơn,86543662,Bình Dương,ATM,Đang xử lý,
GD000498,KH0057,2024-06-17,08:15,Mua ngoại tệ,96531053,Hải Phòng,ATM,Thành công,
GD000885,KH0080,2024-02-08,16:21,Chuyển khoản,95497960,Thanh Hóa,ATM,Đang xử lý,
GD000764,KH0200,2024-05-16,17:17,Chuyển khoản,47401622,Đồng Nai,Quầy giao dịch,Thành công,
GD000985,KH0068,2024-03-15,12:50,Chuyển khoản,32614515,Đồng Nai,Mobile App,Thành công,
GD000545,KH0177,2024-03-08,11:40,Nạp tiền,48385650,Cần Thơ,ATM,Thành công,
GD000260,KH0195,26/04/2024,16:11,Rút tiền,31205984,Hà Nội,POS,Thành công,
GD000895,KH0081,2024-04-18,15:21,Mua ngoại tệ,82868082,,POS,Thành công,
GD000960,KH0062,2024-01-04,10:15,Nạp tiền,31903475,Cần Thơ,Quầy giao dịch,Thành công,Thanh toán tiền điện
GD000292,KH0098,2024-06-03,17:39,Chuyển khoản,139622723,Khánh Hòa,ATM,Thành công,
GD000047,KH0044,2024-03-31,15:11,Mua ngoại tệ,140695258,TP. Hồ Chí Minh,Internet Banking,Thành công,
GD000777,KH0041,2024-01-16,15:33,Nạp tiền,77147330,Đà Nẵng,Internet Banking,Thành công,
GD000740,KH0135,2024-04-14,10:51,Chuyển khoản,98700369,Cần Thơ,ATM,Thành công,Trả nợ vay
GD000860,KH0189,2024-05-10,11:58,Chuyển khoản,22235605,Hải Phòng,POS,Đang xử lý,Thanh toán tiền điện
GD000188,KH0087,2024-06-09,10:44,Mua ngoại tệ,62508120,Bình Dương,Quầy giao dịch,Thành công,
GD000198,KH0148,2024-01-25,17:24,Chuyển khoản,89812037,Bình Dương,Internet Banking,Thành công,Trả nợ vay
GD000077,KH0110,2024-03-21,09:15,Mua ngoại tệ,76532847,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,
GD000184,KH0187,2024-01-03,15:13,Nạp tiền,133837091,Bình Dương,Quầy giao dịch,Thành công,
GD000149,KH0141,2024-04-28,09:16,Chuyển khoản,88862120,Bình Dương,Internet Banking,Thành công,
GD000823,KH0006,2024-04-11,12:04,Rút tiền,23990911,Đà Nẵng,Mobile App,Thành công,
GD000145,KH0085,2024-01-10,12:35,Chuyển khoản,69480283,Đồng Nai,ATM,Thất bại,
GD000626,KH0022,2024-01-25,17:06,Rút tiền,177048115,Cần Thơ,POS,Thành công,Trả nợ vay
GD000115,KH0154,2024-04-13,08:41,Thanh toán hóa đơn,112407871,Đồng Nai,POS,Thành công,
GD000809,KH0102,2024-06-04,08:24,Rút tiền,57187413,Hà Nội,Quầy giao dịch,Thành công,Lương tháng 6
GD000675,KH0051,2024-06-11,09:22,Mua ngoại tệ,166979860,Thanh Hóa,Quầy giao dịch,Thành công,
GD000967,KH0101,2024-02-15,10:36,Thanh toán hóa đơn,193091732,Bình Dương,Mobile App,Thành công,
GD000223,KH0010,2024-06-14,15:57,Mua ngoại tệ,111169678,,Quầy giao dịch,Thành công,
GD000133,KH0028,2024-03-06,14:13,Thanh toán hóa đơn,90763347,Hà Nội,POS,Thành công,
GD000005,KH0036,2024-06-29,09:01,Nạp tiền,195265601,Thanh Hóa,Quầy giao dịch,Thành công,
GD000611,KH0123,2024-05-31,08:49,Thanh toán hóa đơn,130789167,Hải Phòng,ATM,Thành công,
GD000122,KH0010,2024-04-06,16:39,Chuyển khoản,29071482,TP. Hồ Chí Minh,ATM,Thành công,
GD000319,KH0168,2024-06-08,17:08,Rút tiền,76004888,Bình Dương,POS,Thành công,
GD000857,KH0045,2024-01-10,16:31,Mua ngoại tệ,125034089,Nghệ An,ATM,Thành công,
GD000289,KH0105,2024-03-15,09:57,Thanh toán hóa đơn,3482173,Khánh Hòa,POS,Thành công,
GD000935,KH0031,2024-01-01,08:56,Rút tiền,187613823,Cần Thơ,POS,Thành công,
GD000763,KH0139,2024-06-26,10:55,Chuyển khoản,-2109502,Hà Nội,Quầy giao dịch,Thành công,
GD000735,KH0094,2024-01-13,10:05,Mua ngoại tệ,21324949,Nghệ An,Quầy giao dịch,Thành công,
GD000336,KH0039,2024-05-27,16:18,Thanh toán hóa đơn,148658666,Cần Thơ,,Thành công,
GD000534,KH0050,2024-05-27,11:51,Nạp tiền,31031993,Hải Phòng,ATM,Thành công,
GD000322,KH0183,2024-02-09,16:05,Nạp tiền,128257824,Cần Thơ,Quầy giao dịch,Thành công,Chuyển tiền cho người thân
GD000822,KH0036,2024-04-13,10:38,Rút tiền,24764723,Khánh Hòa,ATM,Thành công,Mua sắm online
GD000492,KH0116,2024-03-31,09:22,Thanh toán hóa đơn,115704992,Nghệ An,Quầy giao dịch,Thành công,
GD000538,KH0190,2024-04-21,10:46,Rút tiền,136784039,  Hà Nội  ,POS,Thành công,
GD000654,KH0087,2024-04-26,14:50,Thanh toán hóa đơn,17622747,Bình Dương,ATM,Thành công,
GD000453,KH0031,2024-06-27,08:44,Thanh toán hóa đơn,177954879,Thanh Hóa,,Thành công,
GD000869,KH0028,2024-02-05,14:00,Chuyển khoản,31862175,Nghệ An,ATM,Thành công,Thanh toán tiền điện
GD000920,KH0185,2024-04-03,16:22,Nạp tiền,12229301,Bình Dương,Internet Banking,Thành công,
